date,total_value,daily_return,initial_value,P/L,P/L_percent,MaxDrawDown,SharpeRatio
2026-04-10,1999.275100,-0.000362,2000.00,-0.724900,-0.000362,-0.000362,
2026-04-13,1999.042195,-0.000116,2000.00,-0.957805,-0.000479,-0.000479,
2026-04-14,1933.531902,-0.032771,2000.00,-66.468098,-0.033234,-0.033234,
2026-04-15,1802.843598,-0.067590,2000.00,-197.156402,-0.098578,-0.098578,
2026-04-16,1813.917726,0.006143,2000.00,-186.082274,-0.093041,-0.093041,
2026-04-17,1778.627621,-0.019455,2000.00,-221.372379,-0.110686,-0.110686,
2026-04-20,1797.290918,0.010493,2000.00,-202.709082,-0.101355,-0.101355,
2026-04-21,1812.211119,0.008301,2000.00,-187.788881,-0.093894,-0.093894,
2026-04-22,1817.954932,0.003170,2000.00,-182.045068,-0.091023,-0.091023,
2026-04-23,1772.988435,-0.024735,2000.00,-227.011565,-0.113506,-0.113506,
2026-04-24,1777.891087,0.002765,2000.00,-222.108913,-0.111054,-0.111054,
2026-04-27,1783.156321,0.002962,2000.00,-216.843679,-0.108422,-0.108422,
2026-04-28,1763.261316,-0.011157,2000.00,-236.738684,-0.118369,-0.118369,
2026-04-29,1749.866777,-0.007596,2000.00,-250.133223,-0.125067,-0.125067,
2026-04-30,1799.077722,0.028123,2000.00,-200.922278,-0.100461,-0.100461,
2026-05-01,1853.824637,0.030431,2000.00,-146.175363,-0.073088,-0.073088,
